Filename,Time (ps),Total Energy (kJ/mol),dH/dλ vdw-lambda = 0.0000,ΔH λ to 0.0000,ΔH λ to 0.1000,ΔH λ to 0.2000,ΔH λ to 0.3000,ΔH λ to 0.4000,ΔH λ to 0.5000,ΔH λ to 0.6000,ΔH λ to 0.7000,ΔH λ to 0.8000,ΔH λ to 0.9000,ΔH λ to 1.0000
dhdl_modified_413.xvg,0.0000,648870.12,-7520226.0,0.0000000,-37843.996,-38059.214,-38099.709,-38113.589,-38119.393,-38121.986,-38123.167,-38123.699,-38123.928,-38124.016
dhdl_modified_414.xvg,0.0000,610693.88,-7201665.5,0.0000000,-36756.725,-36971.264,-37011.689,-37025.552,-37031.351,-37033.941,-37035.121,-37035.653,-37035.881,-37035.969
dhdl_modified_415.xvg,0.0000,574880.62,-6897293.0,0.0000000,-35702.886,-35916.741,-35957.095,-35970.941,-35976.734,-35979.322,-35980.501,-35981.032,-35981.260,-35981.348
dhdl_modified_416.xvg,0.0000,541283.56,-6606492.0,0.0000000,-34681.537,-34894.703,-34934.985,-34948.815,-34954.602,-34957.187,-34958.365,-34958.895,-34959.123,-34959.211
dhdl_modified_417.xvg,0.0000,509757.56,-6328609.5,0.0000000,-33691.542,-33904.014,-33944.224,-33958.036,-33963.817,-33966.400,-33967.577,-33968.107,-33968.334,-33968.422
dhdl_modified_418.xvg,0.0000,480169.38,-6063039.0,0.0000000,-32731.854,-32943.626,-32983.763,-32997.559,-33003.333,-33005.913,-33007.089,-33007.619,-33007.846,-33007.934
dhdl_modified_419.xvg,0.0000,452392.59,-5809191.5,0.0000000,-31801.422,-32012.490,-32052.553,-32066.331,-32072.099,-32074.677,-32075.852,-32076.381,-32076.608,-32076.695
dhdl_modified_420.xvg,0.0000,426314.78,-5566553.5,0.0000000,-30899.402,-31109.760,-31149.750,-31163.510,-31169.272,-31171.847,-31173.020,-31173.549,-31173.776,-31173.863
dhdl_modified_421.xvg,0.0000,401826.47,-5334593.5,0.0000000,-30024.820,-30234.464,-30274.378,-30288.120,-30293.876,-30296.448,-30297.621,-30298.149,-30298.376,-30298.463
dhdl_modified_422.xvg,0.0000,378825.97,-5112814.0,0.0000000,-29176.764,-29385.687,-29425.527,-29439.251,-29444.999,-29447.569,-29448.741,-29449.268,-29449.495,-29449.582
dhdl_modified_423.xvg,0.0000,357218.84,-4900746.5,0.0000000,-28354.374,-28562.572,-28602.335,-28616.041,-28621.783,-28624.351,-28625.521,-28626.048,-28626.274,-28626.361
dhdl_modified_424.xvg,0.0000,336916.31,-4697936.0,0.0000000,-27556.787,-27764.255,-27803.941,-27817.629,-27823.364,-27825.929,-27827.098,-27827.624,-27827.850,-27827.938
dhdl_modified_425.xvg,0.0000,317837.88,-4503978.5,0.0000000,-26783.282,-26990.015,-27029.624,-27043.292,-27049.021,-27051.583,-27052.751,-27053.277,-27053.503,-27053.590
dhdl_modified_426.xvg,0.0000,299905.47,-4318457.0,0.0000000,-26033.036,-26239.030,-26278.560,-26292.210,-26297.932,-26300.491,-26301.658,-26302.183,-26302.409,-26302.496
